PUBLISHED_DATE,DOCUMENTS_INDEX,PUBLISHER,TOPIC,BYLINE,SECTION,SOURCE,LENGTH,DATELINE,SUMMARY,LOAD_DATE,LANGUAGE,CORRECTION_DATE,CORRECTION,GRAPHIC,TYPE,DOCUMENT_TYPE,PUBLISH_TYPE,COPYRIGHT
"February 13, 2003, Thursday",23 of 90 DOCUMENTS,Austin American-Statesman (Texas),Business Digest,Compiled from staff and wire reports,Business; Pg. C1,,584 words,,,"February 13, 2003",ENGLISH,,,,,,,Copyright 2003 The Austin American Statesman
,group,company,oil,proposal,emission,industry,crude,cent,share,U.S.,greenhouse,gas,industrial,voluntary,global,warming,growth,wednesday,light,sweet,level,report,government,shareholder,million,cut,co.,curb,include,power,refiner,impose,lawmaker,percent,rise,price,stock,smooth,inventory,gasoline,heating,accord,governance,file,reform,ask,change,executive,brand,strong,quarter,earn,WASHINGTON,Coca_Cola,promiseto,hundred,agree,plan,combat,trade,represent,automaker,producer,chemical,manufacturer,promise,slow,next,decade,project,link,administration,aim,address,concern,without,mandatory,cap,air,pollutant,favor,legislation,limit,plant,introduce,senate,bipartisan,environmental,natural,resource,defense,council,target,translate,increase,much,2000,2010,production
,6,5,5,5,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"April 13, 2003, Sunday",24 of 90 DOCUMENTS,Austin American-Statesman (Texas),"Young love loses innocence when violence interferes Killing may show how parents, schools don't see emotional pressure, potential for harm","Kathy Blackwell and Claire Osborn, AMERICAN-STATESMAN STAFF",News; Pg. A1,,1864 words,,,"April 13, 2003",ENGLISH,,,"Ortralla Mosley: 15-year-old stabbed to death March 28 at Reagan High School. // Marcus McTear: 16-year-old charged with murder in former girlfriend's death. // 'It's still hard to believe that it could ever happen, that our children can be so disturbed that they have these thoughts,' Carolyn Mosley Samuel said of the slaying of her 15-year-old daughter, Ortralla.",,,,Copyright 2003 The Austin American Statesman
,McTear,Mosley,school,Samuel,Barks,death,know,relationship,child,tell,time,help,friend,violence,student,record,official,Reagan,family,go,talk,daughter,week,man,assault,Marcus,love,juvenile,people,happen,begin,stab,accord,mother,mctear,call,take,stair,police,court,Joseph,least,several,other,district,parent,find,polite,six,include,girlfriend,father,jr.,beat,still,dance,every,team,football,wedding,counseling,break,die,play,track,make,class,can,convict,probation,push,change,Ortralla_Mosley,Marcus_McTear,Austin,center,sign,investigate,thing,clear,story,teenager,raise,question,may,little,awareness,girl,afraid,speak,control,adult,disciplinary,former,criminal,injury,1993,brother,ever
,29,26,18,11,9,8,7,7,7,7,7,7,6,6,6,6,6,6,5,5,5,5,5,5,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"May 26, 2003, Monday",25 of 90 DOCUMENTS,Austin American-Statesman (Texas),City wants to make downtown more friendly Developers say new proposals might drive them out entirely,"Jonathan Osborne, AMERICAN-STATESMAN STAFF",Metro/State; Pg. B1,,1578 words,,,"May 26, 2003",ENGLISH,,,Charlie Betts: Executive director of Downtown Austin Alliance worries about timing.,,,,Copyright 2003 The Austin American Statesman
,downtown,guideline,building,city,project,make,developer,three,new,development,may,council,requirement,area,use,view,design,many,encourage,become,mandatory,law,include,district,public,build,require,think,street,lead,another,incentive,urban,business,ordinance,construction,still,density,street_level,tint,offer,center,square,planner,approve,interstate,least,frontage,back,call,space,cover,glass,percent,commission,recommendation,point,certain,codify,block,concern,change,away,pedestrian_friendly,Smart_Growth,sidewalk,window,floor,around,fitness,foot,look,mind,2000,ban,bank,lot,story,station,road,june,consider,promote,core,without,staff,reserve,much,shop,restaurant,outdoor,plaza,live,push,mean,impede,suggest,overhead,awning
,22,16,13,12,11,10,8,7,7,7,6,6,6,6,6,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"August 6, 2003, Wednesday",27 of 90 DOCUMENTS,Austin American-Statesman (Texas),Mold checks to lawmaker scrutinized Prosecutors investigate whether insurance execs approved extra payment,"Laylan Copelin and David Pasztor, AMERICAN-STATESMAN STAFF",Metro/State; Pg. B1,,684 words,,,"August 21, 2003",ENGLISH,,,Rep. Joe Nixon: State legislator has denied wrongdoing.,,,,Copyright 2003 The Austin American Statesman
,claim,Nixon,insurance,mold,company,lawsuit,bill,Farmers_Insurance,damage,e_mails,payment,tuesday,pass,legislation,additional,reform,session,file,business,change,make,e_mail,House,Texas,investigate,approve,attorney,confirm,behind,national,manager,vice,president,question,pay,deny,statement,wrongdo,another,character,legislator,tort,legislative,aim,cut,medical,malpractice,contain,measure,lobbyist,legal,cause,legitimate,allegation,limit,prosecutor,whether,executive,extra,state,lawmaker,write,support,ronnie,earle,office,circumstance,rep.,joe,nixon,exchange,saidallegedly,cover,lower,level,return,phone,call,comment,release,prepare,attempt,impugn,regular,primary,sponsor,drive,force,representative,controversial,number,chair,create,combine,rate,laundry,list,seek,specifically
,13,13,11,8,8,7,6,6,5,5,4,4,4,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"September 25, 2003, Thursday",29 of 90 DOCUMENTS,Austin American-Statesman (Texas),"UP for the URBAN CHALLENGE With their new and remodeled abodes on AIA Homes Tour, four architects take neighborly approach and try to blend in","Jeanne Claire van Ryzin, AMERICAN-STATESMAN ARTS WRITER",Lifestyle; Pg. E1,,1655 words,,,"September 25, 2003",ENGLISH,,,1804 Collier St. // 2307 S. 2nd St. // 4607 Shoalwood Ave. // A large cabinet wall with a built-in desk separates the living space from the bedroom in John Maier and Ulrike Zelter's 1950 duplex.,,,,Copyright 2003 The Austin American Statesman
