PUBLISHED_DATE,DOCUMENTS_INDEX,PUBLISHER,TOPIC,BYLINE,SECTION,SOURCE,LENGTH,DATELINE,SUMMARY,LOAD_DATE,LANGUAGE,CORRECTION_DATE,CORRECTION,GRAPHIC,TYPE,DOCUMENT_TYPE,PUBLISH_TYPE,COPYRIGHT
,Perry,governor,state,Texas,make,leave,think,percent,go,work,include,capitol,prison,right,sit,mansion,elect,president,texan,time,system,school,job,conservative,building,big,end,office,front,long,still,run,presidential,ask,sure,face,people,increase,many,hear,presidency,show,probably,politician,change,personal,political,decision,â,liberal,reporter,price,tell,note,later,lieutenant,government,happen,better,way,tax,fair,confident,thing,interview,texas,veto,put,we,part,know,particularly,reform,policy,something,2012,become,2000,leader,legacy,education,rate,Democratic,House,U.S.,GOP,never,three,decade,history,politics,move,reign,rep,rick,perry,recall,choice,back
,34,22,19,13,11,8,7,7,6,6,6,5,5,5,5,5,5,5,5,5,5,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2
"January 29, 2015 Thursday",35 of 98 DOCUMENTS,Austin American-Statesman (Texas),All that above-average warmth: What's up?,Patrick Beach American-Statesman Staff,METRO; Pg. B1,,482 words,,,"January 29, 2015",ENGLISH,,,,,,Newspaper,Copyright 2015 The Austin American-Statesman                               All Rights Reserved
,rain,high,record,wednesday,still,system,Smart,follow,temperature,need,level,chance,remember,week,air,little,date,degree,we,weather,unseasonable,tuesday,southerly,wind,warm,nice,another,kind,good,weekend,move,percent,pollen,try,snowbank,park,car,snow,january,run,conditioning,vehicle,drive,play,golf,volleyball,short,best,feeling,satisfied,shattered,old,set,1970,three,cooler,peak,although,destination,beat,number,spot,cliff,diving,give,climate,change,time,narrow,deficit,department,national,service,meteorologist,warmth,tie,thanks,stretch,east,rocky,northern,plain,abundant,sunshine,past,couple,allow,lower,heat,better,establish,pattern,sustain,replenish,soil,moisture,reprieve,yet,crawl
,7,6,4,4,4,4,4,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"March 21, 2015 Saturday",36 of 98 DOCUMENTS,Austin American-Statesman (Texas),"Who's on austin's health and human services, open space committees",American-Statesman Staff,METRO; Pg. B2,,267 words,,,"March 24, 2015",ENGLISH,,,,,,Newspaper,Copyright 2015 The Austin American-Statesman                               All Rights Reserved
,committee,issue,chair,council,health,involve,change,new,public,include,service,oversee,range,matter,vice,meet,p.m.,301,w.,second,st.,staff,contact,512,part,way,business,do,adopt,slate,last,allow,time,vet,hearing,comment,four,member,serve,exception,entire,examine,proposal,send,full,without,recommendation,information,human,social,veterans,affair,sustainable,food,population,animal,welfare,panel,ora,monday,austin,travis,county,environmental,water,quality,climate,handle,park,forestry,cemetery,sustainability,trash,recycl,compost,group,zimmerman,fourth,wednesday,joe,pantalion,development,review,City_Hall,Austin,City_Council,Austin_Energy,at_risk,Houston,Kathie_Tovo,Delia_Garza_Ellen_Troxclair,City_Hall_Council_Chambers,Shannon_Jones,Human_Services_Department,Leslie_Pool,Delia_Garza,Kathie_Tovo_Don,City_Hall_Boards,Commissions_Room
,8,4,4,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"May 28, 2015 Thursday",37 of 98 DOCUMENTS,Austin American-Statesman (Texas),Study: Clean tech is big boost,Brian Gaar American-Statesman Staff,BUSINESS; Pg. B6,,518 words,,,"May 28, 2015",ENGLISH,,,,,,Newspaper,Copyright 2015 The Austin American-Statesman                               All Rights Reserved
,Austin,clean,area,sector,industry,technology,study,grow,energy,tech,metro,economy,employ,people,accord,city,percent,happen,rate,Austin_Technology_Incubator,contribute,billion,"20,000",employment,field,2020,development,know,something,define,include,region,growth,research,100,hub,story,think,Central_Texas,Civic_Analytics,Texas,Adler,2.5,annually,new,release,leader,advocate,wednesday,expect,conduct,consulting,firm,attempt,quantify,incubator,have,many,special,regard,proof,fact,really,compelling,credite,partnership,local,utility,researcher,among,other,help,set,service,develop,across,number,response,concern,climate,change,security,resource,depletion,range,smart,grid,vehicle,water,recycl,manufacturing,nearly,project,11.24,almost,twice,national,previous,2011
