PUBLISHED_DATE,DOCUMENTS_INDEX,PUBLISHER,TOPIC,BYLINE,SECTION,SOURCE,LENGTH,DATELINE,SUMMARY,LOAD_DATE,LANGUAGE,CORRECTION_DATE,CORRECTION,GRAPHIC,TYPE,DOCUMENT_TYPE,PUBLISH_TYPE,COPYRIGHT
,think,tank,idea,Butler,Heritage,change,conservative,government,policy,president,zone,promote,research,heritage,big,office,organization,way,work,today,write,issue,book,influence,start,new,independent,close,give,representative,federal,control,take,lead,city,paper,concept,enterprise,people,scholar,point,view,run,business,major,foundation,life,reform,security,name,team,focus,country,retirement,publish,weekly,report,conduct,hold,seminar,release,aim,expert,provide,many,corporation,interest,money,opinion,include,investment,fund,liberal,institute,group,door,put,campaign,sponsor,meeting,republican,recommendation,end,empowerment,program,tax,legislation,1994,create,brainstorm,public,eureka,lot,never,need,Washington,Social,White_House,Tancredo
,27,25,10,10,9,7,6,5,5,5,5,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"February 25, 2000, Friday",23 of 95 DOCUMENTS,Austin American-Statesman (Texas),"In this town, you make the sprawl",Michael Barnes,Technopolis; Pg. H1,,1021 words,,,"March 8, 2000",ENGLISH,,,"Jason Andrus is an intern architect and an avid SimCity player. SimCity helps people like Andrus learn design and urban planning in an entertaining venue. ; 'I am currently experimenting with laying out a city based on Austin's layout and Austin's history of development and I am interested to see how the game responds.' -- Jason Andrus, intern architect",,,,Copyright 2000 The Austin American-Statesman
,mb,game,city,player,3000,community,space,make,development,Austin,simcity,architect,real,add,street,system,drive,hard,version,2000,budget,realism,base,school,fire,station,time,plan,use,change,el,cenizo,child,virtual,ram,disk,SimCity,electronic,promote,release,inner,mostly,five,force,planner,save,life,border,intern,increase,option,control,better,enough,keep,entertained,zone,municipal,oversee,commercial,new,however,respond,create,allow,play,related,take,well,walk,experiment,lay,layout,public,burn,water,www.ea.com,window,95/98,pentium,166,card,200,mhz,memory,39.99,SimTown,CD_ROM,popular,sharpen,reflex,computer,skill,barbarian,million,boy,age,exception,among
,10,9,7,6,5,5,5,5,5,5,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1
"June 18, 2000, Sunday",24 of 95 DOCUMENTS,Austin American-Statesman (Texas),Recent rains haven't doused drought; But wet weather helped boost,Dick Stanley,Metro/State; Pg. B1,,600 words,,,"June 18, 2000",ENGLISH,,,,,,,Copyright 2000 The Austin American-Statesman
,rain,moisture,foot,water,Lake_Travis,week,dring,aquifer,northern,end,Central_Texas,still,we,normal,flow,southern,soil,increase,Rose,soaking,much,weather,take,bigger,completely,outlook,precipitation,july,development,area,tropic,fall,result,tropical,effect,general,monitor,well,spring,county,remain,supply,time,restriction,lawn,runoff,however,dry,Travis,San_Antonio,Williamson_County,despite,gentle,milder,daytime,temperature,past,watcher,another,episode,prolong,widespread,generally,hopeful,federal,climate,researcher,predict,return,october,winter,la,nia,eastern,pacific,maker,blame,finally,fad,away,chief,meteorologist,count,storm,play,role,summer,indeed,early,june,fail,depression,low,pressure,gulf,three,primary,index,capacity
,10,6,5,5,5,4,4,4,4,4,4,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"September 6, 2000, Wednesday",27 of 95 DOCUMENTS,Austin American-Statesman (Texas),A warmer world,,Editorial; Pg. A8,,458 words,,,"September 8, 2000",ENGLISH,,,Ida Otems helps 3-year-old granddaughter Jade Robinson keep cool Saturday with a wet cloth. Central Texas has had record-breaking heat.,,,,Copyright 2000 The Austin American-Statesman
,warming,global,fuel,heat,temperature,fossil,Texas,dring,prolong,scientist,energy,nothing,new,make,combination,rain,soar,efficient,use,oil,coal,drive,slow,change,world,voyage,arise,greenhouse,atmosphere,source,Central_Texas,Arctic,Crowley,hot,summertime,swelter,uncommon,time,unusual,perhaps,unprecedented,intense,long,far,100,degree,significant,july,raise,due,simple,answer,accord,maybe,uncertainty,prompt,we,cut,back,car,halting,deforestation,forest,professor,oceanography,university,alone,attribute,state,brave,several,period,drought,wave,include,1930,take,elsewhere,around,picture,look,different,note,crew,weekend,complete,fabl,traver,without,encountering,pack,ice,latest,evidence,melting,summer,extensively,usual,expect
,10,8,5,4,4,4,4,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"July 10, 2000, Monday",28 of 95 DOCUMENTS,Austin American-Statesman (Texas),What next for Netscape?,Heather Cocks American-Statesman Staff,Business; Pg. D1,,2678 words,,,"July 11, 2000",ENGLISH,,,,,,,Copyright 2000 The Austin American-Statesman
,Netscape,browser,new,company,Microsoft,internet,software,web,program,6.0,product,use,make,version,netscape,market,explorer,sidebar,user,Smiley,e_mail,create,computer,window,free,early,back,tab,icon,microsoft,run,smaller,consumer,much,percent,time,change,code,build,still,service,feature,message,screen,people,click,AOL,navigator,design,faster,fall,need,accord,surf,analyst,something,1996,release,customer,late,instead,start,take,enough,may,real,developer,access,look,color,list,language,page,go,standard,instant,messenger,result,keep,address,corp,deep,writer,tool,sort,sight,symbolize,engineer,point,right,write,world,device,alike,least,win,war,think,competitive
,34,20,14,13,13,12,11,11,10,9,9,8,8,8,8,8,7,7,7,7,6,5,5,5,5,5,5,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
