PUBLISHED_DATE,DOCUMENTS_INDEX,PUBLISHER,TOPIC,BYLINE,SECTION,SOURCE,LENGTH,DATELINE,SUMMARY,LOAD_DATE,LANGUAGE,CORRECTION_DATE,CORRECTION,GRAPHIC,TYPE,DOCUMENT_TYPE,PUBLISH_TYPE,COPYRIGHT
"December 30, 2001 Sunday",114 of 351 DOCUMENTS,Pittsburgh Post-Gazette (Pennsylvania),MORE THAN A PARADE OF ROSES;  PASADENA'S HIGHLIGHTS GO BEYOND FOOTBALL AND BOWL FESTIVITIES,"SUSAN EDMONDSON, THE GAZETTE (COLORADO SPRINGS)","TRAVEL, Pg.E-1",,2001 words,"PASADENA, Calif.",,"January 5, 2002",ENGLISH,,,"Photo: Rene Macura/ Above: Mike Bell dresses as President Bush riding the back of Osama bin Laden in the 25th annual Doo Dah Parade in Pasadena, Calif., last month. The event is a parody of the Rose Parade held in the city each Jan. 1.  Photo: Reed Saxon/Associated Press Left: Pasadena is a city made for walking, particularly the section called Old Pasadena, with its shops, restaurants and theaters.  Photo: Tim Berger/Pasadena Star-News: TOP: Settlers in the 1800s and early 1900s were lured to Pasadena by its climate and potential for culture. Surviving through ups and down, the Southern California city today is a popular tourist destination.  Photo: Tournament of Roses Archives: ""Symbols of America"" was among the floats on display at the 2001 Rose Parade in Pasadena, Calif. The city is well known for the parade and the Rose Bowl held each New Year's Day, but Pasadena offers many attractions, from museums to gardens to shopping.",,,,Copyright 2001 P.G. Publishing Co.
,home,Pasadena,work,art,area,city,granny,garden,century,open,pasadena,Southern_California,go,walk,historic,fill,architecture,time,detail,museum,tour,free,Huntington,take,view,make,tournament,bungalow,visit,gallery,style,visitor,Los_Angeles,Old_Pasadena,real,foot,new,around,neighborhood,best,display,abundance,classic,early,shopping,national,district,complete,200,restaurant,landmark,block,easy,manuscript,stroll,many,adult,senior,fact,build,gamble,information,Norton_Simon,Gamble_House,drive,keep,old,dodge,park,may,opposite,exploring,minute,north,downtown,small,part,long,20th,town,climate,promise,dining,good,popular,thursday,1980,extensive,renowned,architect,preserve,anchor,child,back,heart,healthy,own,store,name
,18,11,10,9,9,8,6,6,6,6,6,6,5,5,5,5,5,5,5,5,5,5,5,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"March 8, 2001, Thursday",115 of 351 DOCUMENTS,Pittsburgh Post-Gazette (Pennsylvania),CUT-RATE AIDS DRUG MAKER ASKS SOUTH AFRICA FOR ACCESS,"RACHEL L. SWARNS, THE NEW YORK TIMES","SCIENCE, MEDICINE, TECHNOLOGY, Pg. A-4",,707 words,"JOHANNESBURG, South Africa --",,"March 9, 2001",ENGLISH,,,,,,,Copyright 2001 P.G. Publishing Co.
,drug,price,country,AIDS,South_Africa,per,cost,last,offer,patent,Cipla,aid,available,company,people,develop,patient,license,demand,million,law,make,HIV,maker,ask,give,sell,multinational,high,producer,ravage,poor,afford,infect,carry,medicine,government,600,big,take,compulsory,cut,lower,many,international,week,increase,pressure,epidemic,world,change,die,Merck,Crixivan,generic,right,eight,currently,announcement,ltd,large,open,new,front,struggle,patented,medication,continent,treatment,earth,roughly,percent,adult,virus,"10,000","15,000",normal,regimen,move,lead,co.,slash,important,war,begin,400,hold,advantage,compel,holder,instance,ground,national,emergency,meet,fair,letter,department,commissioner
,16,12,8,8,7,5,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"December 27, 2001 Thursday",122 of 351 DOCUMENTS,Pittsburgh Post-Gazette (Pennsylvania),"BYLINE: MARLENE PARRISH, POST-GAZETTE STAFF WRITER",,"FOOD, Pg.D-1",,2978 words,,,"December 27, 2001",ENGLISH,,,,,,,Copyright 2001 P.G. Publishing Co.
,oil,olive,cup,make,use,egg,dessert,sugar,tablespoon,chocolate,puff,flavor,pastry,sweet,dough,teaspoon,butter,pan,cream,large,baking,mixture,brioche,bread,spoon,Spain,bowl,heat,minute,call,cake,food,orange,shape,zest,chef,white,cool,add,beat,oven,fruit,yolk,recipe,batter,work,loaf,lemon,milk,flour,salt,time,Spanish,ingredient,mousse,hot,serve,small,many,fat,lightly,allow,processor,water,medium,let,American,beautiful,yeast,thing,cookie,kitchen,often,cover,fry,every,hour,prefer,light,flan,custard,almond,cook,olife,put,baked,mix,together,three,leave,bake,stir,top,ball,preheat,remove,degree,knife,SPANISH
,51,40,29,27,21,21,17,17,16,14,14,14,13,13,13,13,12,12,11,11,11,11,10,10,10,10,9,9,9,8,8,8,8,8,8,7,7,7,7,7,6,6,6,6,6,6,6,6,6,6,6,6,6,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
"April 8, 2001 Sunday",123 of 351 DOCUMENTS,Pittsburgh Post-Gazette (Pennsylvania),A MATTER OF DEGREE;  THE NEW FRONTIER FOR SURFERS IS COLD WATER -- AS IN ANTARCTICA,"PATRICK JOSEPH, UNIVERSAL PRESS SYNDICATE","TRAVEL, Pg.F-8",,927 words,,,"January 25, 2002",ENGLISH,,,"PHOTO: Jim Ready: Winter surfers take on the challenge of the rocky coast of Maine, where ocean-surface temperatures are frigid even in midsummer.",,,,Copyright 2001 P.G. Publishing Co.
,surf,water,suit,cold,surfer,wet,new,go,winter,wave,break,web,Maine,Maverick,warm,temperature,place,high,swell,form,degree,warmer,may,last,neoprene,air,people,think,usually,extend,sport,thanks,design,weather,away,storm,rage,spot,much,contribute,increase,seven,occasionally,really,home,set,ice,site,dry,heat,body,skin,material,Hawaii,year_round,big_wave,cold_water,e_mail,Liquid_Dreams_Surf_Shop,Ogunquit,envision,image,beach,rocky,shore,frigid,midsummer,global,nearly,improvement,longer,serious,impediment,culture,take,root,unlikely,magazine,increasingly,turn,editorial,gaze,tropic,run,dispatch,latitudes,long,consider,season,proliferation,offshore,heavy,produce,send,ocean,hundred,mile,huge,remote
,16,13,11,9,6,6,5,5,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
